type,date,epop
High school graduate,"May, 2006",4.3
High school graduate,"April, 2006",4.4
High school graduate,"March, 2006",4.1
High school graduate,"February, 2006",4.4
High school graduate,"January, 2006",4.4
High school graduate,"December, 2005",4.5
High school graduate,"November, 2005",4.8
High school graduate,"October, 2005",4.8
High school graduate,"September, 2005",4.9
High school graduate,"August, 2005",4.7
High school graduate,"July, 2005",4.8
High school graduate,"June, 2005",4.8
High school graduate,"May, 2005",4.5
High school graduate,"April, 2005",4.4
High school graduate,"March, 2005",4.7
High school graduate,"February, 2005",4.9
High school graduate,"January, 2005",4.7
High school graduate,"December, 2004",4.8
High school graduate,"November, 2004",4.8
High school graduate,"October, 2004",4.8
High school graduate,"September, 2004",4.7
High school graduate,"August, 2004",4.9
High school graduate,"July, 2004",5.0
High school graduate,"June, 2004",5.2
High school graduate,"May, 2004",5.1
High school graduate,"April, 2004",5.3
High school graduate,"March, 2004",5.3
High school graduate,"February, 2004",5.0
High school graduate,"January, 2004",4.9
High school graduate,"December, 2003",5.4
High school graduate,"November, 2003",5.3
High school graduate,"October, 2003",5.5
High school graduate,"September, 2003",5.3
High school graduate,"August, 2003",5.4
High school graduate,"July, 2003",5.4
High school graduate,"June, 2003",5.7
High school graduate,"May, 2003",5.6
High school graduate,"April, 2003",5.7
High school graduate,"March, 2003",5.5
High school graduate,"February, 2003",5.4
High school graduate,"January, 2003",5.2
High school graduate,"December, 2002",5.3
High school graduate,"November, 2002",5.2
High school graduate,"October, 2002",4.9
High school graduate,"September, 2002",5.0
High school graduate,"August, 2002",5.2
High school graduate,"July, 2002",5.1
High school graduate,"June, 2002",5.4
High school graduate,"May, 2002",5.5
High school graduate,"April, 2002",5.5
High school graduate,"March, 2002",5.4
High school graduate,"February, 2002",5.3
High school graduate,"January, 2002",5.3
High school graduate,"December, 2001",4.9
High school graduate,"November, 2001",5.0
High school graduate,"October, 2001",4.7
High school graduate,"September, 2001",4.4
High school graduate,"August, 2001",4.4
High school graduate,"July, 2001",4.1
High school graduate,"June, 2001",3.8
High school graduate,"May, 2001",3.9
High school graduate,"April, 2001",3.7
High school graduate,"March, 2001",3.8
High school graduate,"February, 2001",3.7
High school graduate,"January, 2001",3.8
High school graduate,"December, 2000",3.5
High school graduate,"November, 2000",3.5
High school graduate,"October, 2000",3.6
High school graduate,"September, 2000",3.5
High school graduate,"August, 2000",3.7
High school graduate,"July, 2000",3.4
High school graduate,"June, 2000",3.4
High school graduate,"May, 2000",3.4
High school graduate,"April, 2000",3.3
High school graduate,"March, 2000",3.3
High school graduate,"February, 2000",3.4
High school graduate,"January, 2000",3.4
Some college,"October, 2016",3.8
Some college,"September, 2016",4.2
Some college,"August, 2016",4.3
Some college,"July, 2016",4.3
Some college,"June, 2016",4.2
Some college,"May, 2016",3.9
Some college,"April, 2016",4.1
Some college,"March, 2016",4.1
Some college,"February, 2016",4.2
Some college,"January, 2016",4.2
Some college,"December, 2015",4.1
Some college,"November, 2015",4.4
Some college,"October, 2015",4.3
Some college,"September, 2015",4.3
Some college,"August, 2015",4.4
Some college,"July, 2015",4.4
Some college,"June, 2015",4.2
Some college,"May, 2015",4.4
Some college,"April, 2015",4.6
Some college,"March, 2015",4.8
Some college,"February, 2015",5.0
Some college,"January, 2015",5.2
Some college,"December, 2014",5.0
Some college,"November, 2014",4.8
Some college,"October, 2014",4.9
Some college,"September, 2014",5.4
Some college,"August, 2014",5.4
Some college,"July, 2014",5.4
Some college,"June, 2014",5.2
Some college,"May, 2014",5.5
Some college,"April, 2014",5.7
Some college,"March, 2014",5.9
Some college,"February, 2014",6.0
Some college,"January, 2014",5.9
Some college,"December, 2013",6.1
Some college,"November, 2013",6.4
Some college,"October, 2013",6.4
Some college,"September, 2013",6.1
Some college,"August, 2013",6.1
Some college,"July, 2013",6.1
Some college,"June, 2013",6.5
Some college,"May, 2013",6.5
Some college,"April, 2013",6.3
Some college,"March, 2013",6.3
Some college,"February, 2013",6.5
Some college,"January, 2013",6.9
Some college,"December, 2012",6.8
Some college,"November, 2012",6.5
Some college,"October, 2012",6.9
Some college,"September, 2012",6.6
Some college,"August, 2012",6.7
Some college,"July, 2012",7.2
Some college,"June, 2012",7.3
Some college,"May, 2012",7.7
Some college,"April, 2012",7.6
Some college,"March, 2012",7.5
Some college,"February, 2012",7.2
Some college,"January, 2012",7.1
Some college,"December, 2011",7.6
