date,u,uadd,type,type2
"Oct, 2011",15.8,7,U6,U6-U3
"Nov, 2011",15.5,6.9,U6,U6-U3
"Dec, 2011",15.2,6.7,U6,U6-U3
"Jan, 2012",15.2,6.9,U6,U6-U3
"Feb, 2012",15,6.7,U6,U6-U3
"Mar, 2012",14.6,6.4,U6,U6-U3
"Apr, 2012",14.6,6.4,U6,U6-U3
"May, 2012",14.8,6.6,U6,U6-U3
"Jun, 2012",14.8,6.6,U6,U6-U3
"Jul, 2012",14.8,6.6,U6,U6-U3
"Aug, 2012",14.6,6.5,U6,U6-U3
"Sep, 2012",14.8,7,U6,U6-U3
"Oct, 2012",14.4,6.6,U6,U6-U3
"Nov, 2012",14.4,6.7,U6,U6-U3
"Dec, 2012",14.4,6.5,U6,U6-U3
"Jan, 2013",14.5,6.5,U6,U6-U3
"Feb, 2013",14.3,6.6,U6,U6-U3
"Mar, 2013",13.8,6.3,U6,U6-U3
"Apr, 2013",14,6.4,U6,U6-U3
"May, 2013",13.8,6.3,U6,U6-U3
"Jun, 2013",14.2,6.7,U6,U6-U3
"Jul, 2013",13.8,6.5,U6,U6-U3
"Aug, 2013",13.6,6.3,U6,U6-U3
"Sep, 2013",13.7,6.4,U6,U6-U3
"Oct, 2013",13.7,6.5,U6,U6-U3
"Nov, 2013",13.1,6.2,U6,U6-U3
"Dec, 2013",13.1,6.4,U6,U6-U3
"Jan, 2014",12.7,6.1,U6,U6-U3
"Feb, 2014",12.6,5.9,U6,U6-U3
"Mar, 2014",12.6,5.9,U6,U6-U3
"Apr, 2014",12.3,6.1,U6,U6-U3
"May, 2014",12.1,5.9,U6,U6-U3
"Jun, 2014",12,5.9,U6,U6-U3
"Jul, 2014",12.2,6,U6,U6-U3
"Aug, 2014",12,5.8,U6,U6-U3
"Sep, 2014",11.8,5.8,U6,U6-U3
"Oct, 2014",11.5,5.8,U6,U6-U3
"Nov, 2014",11.4,5.6,U6,U6-U3
"Dec, 2014",11.2,5.6,U6,U6-U3
"Jan, 2015",11.3,5.6,U6,U6-U3
"Feb, 2015",11,5.5,U6,U6-U3
"Mar, 2015",10.9,5.4,U6,U6-U3
"Apr, 2015",10.8,5.4,U6,U6-U3
"May, 2015",10.7,5.2,U6,U6-U3
"Jun, 2015",10.5,5.2,U6,U6-U3
"Jul, 2015",10.4,5.1,U6,U6-U3
"Aug, 2015",10.3,5.2,U6,U6-U3
"Sep, 2015",10,4.9,U6,U6-U3
"Oct, 2015",9.8,4.8,U6,U6-U3
"Nov, 2015",9.9,4.9,U6,U6-U3
"Dec, 2015",9.9,4.9,U6,U6-U3
"Jan, 2016",9.9,5,U6,U6-U3
"Feb, 2016",9.7,4.8,U6,U6-U3
"Mar, 2016",9.8,4.8,U6,U6-U3
"Apr, 2016",9.7,4.7,U6,U6-U3
